Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
San Antonio Spurs,53,39,14,0.735849057,5131,4999,132,6,0.666666667,6,0.666666667,6,0.666666667,6,0.666666667,5,2,2,6,4.25,5,3,1,0.351,0.463,0.712
New Jersey Nets,48,27,21,0.5625,4484,4417,67,6,0.666666667,4,1,4,1,6,0.333333333,6,3,1,6,5.25,4.75,2,2,0.35,0.439,0.762
Dallas Mavericks,49,29,20,0.591836735,5075,5087,-12,7,0.571428571,7,0.571428571,6,0.333333333,0,0,4,2,1,7,3.5,5.5,2,3,0.397,0.469,0.829
Detroit Pistons,46,21,25,0.456521739,4213,4198,15,7,0.571428571,6,0.666666667,4,0,0,0,2,0,1,4,1.5,3.25,1,4,0.352,0.43,0.741
Sacramento Kings,39,29,10,0.743589744,4093,4065,28,5,0.8,7,0.428571429,0,0,0,0,5,1,2,4,4,3.5,1,5,0.367,0.484,0.777
Philadelphia 76ers,41,25,16,0.609756098,4005,3995,10,6,0.666666667,6,0.333333333,0,0,0,0,2,0,0,2,1.5,1.5,1,6,0.352,0.458,0.803
Los Angeles Lakers,41,28,13,0.682926829,4193,4190,3,6,0.666666667,6,0.333333333,0,0,0,0,2,2,2,3,2,2.75,1,7,0.354,0.478,0.709
Boston Celtics,38,17,21,0.447368421,3441,3447,-6,6,0.666666667,4,0,0,0,0,0,3,2,0,2,2.75,1.5,0,8,0.354,0.453,0.8
Portland Trail Blazers,36,18,18,0.5,3451,3444,7,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,9,0.37,0.486,0.752
Orlando Magic,34,19,15,0.558823529,3355,3406,-51,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.316,0.455,0.781
Phoenix Suns,34,16,18,0.470588235,3220,3252,-32,6,0.333333333,0,0,0,0,0,0,0,0,2,2,0,2,0,11,0.298,0.407,0.714
New Orleans Hornets,32,20,12,0.625,3000,3010,-10,6,0.333333333,0,0,0,0,0,1,0,0,0,1,0,0.75,0,12,0.369,0.458,0.743
Minnesota Timberwolves,33,19,14,0.575757576,3296,3334,-38,6,0.333333333,0,0,0,0,0,0,2,1,1,1,1.75,1,0,13,0.333,0.49,0.806
Milwaukee Bucks,35,17,18,0.485714286,3518,3544,-26,6,0.333333333,0,0,0,0,0,0,0,1,0,0,0.25,0,0,14,0.373,0.483,0.745
Indiana Pacers,34,13,21,0.382352941,3188,3222,-34,6,0.333333333,0,0,0,0,0,0,1,1,1,1,1,1,0,15,0.292,0.417,0.79
Utah Jazz,33,16,17,0.484848485,3038,3091,-53,5,0.2,0,0,0,0,0,0,0,2,0,0,0.5,0,0,16,0.265,0.451,0.787
Detroit Pistons,49,36,13,0.734693878,4369,4222,147,5,0.8,7,0.571428571,6,0.666666667,5,0.8,4,1,1,5,3.25,4,3,1,0.304,0.436,0.734
Los Angeles Lakers,52,36,16,0.692307692,4943,4923,20,5,0.8,6,0.666666667,6,0.666666667,5,0.2,5,2,1,5,4.25,4,2,2,0.321,0.476,0.612
Minnesota Timberwolves,47,30,17,0.638297872,4339,4340,-1,5,0.8,7,0.571428571,6,0.333333333,0,0,4,2,1,5,3.5,4,2,3,0.387,0.454,0.78
Indiana Pacers,44,32,12,0.727272727,4022,3951,71,4,1,6,0.666666667,6,0.333333333,0,0,3,0,1,4,2.25,3.25,1,4,0.333,0.432,0.733
Sacramento Kings,43,24,19,0.558139535,4192,4191,1,5,0.8,7,0.428571429,0,0,0,0,5,3,1,6,4.5,4.75,1,5,0.348,0.445,0.758
New Jersey Nets,41,22,19,0.536585366,3668,3641,27,4,1,7,0.428571429,0,0,0,0,4,1,1,4,3.25,3.25,1,6,0.272,0.467,0.73
San Antonio Spurs,38,27,11,0.710526316,3533,3502,31,4,1,6,0.333333333,0,0,0,0,3,1,2,3,2.5,2.75,1,7,0.365,0.464,0.644
Miami Heat,40,25,15,0.625,3706,3704,2,7,0.571428571,6,0.333333333,0,0,0,0,4,1,1,5,3.25,4,0,8,0.276,0.437,0.754
New Orleans Hornets,35,14,21,0.4,3126,3147,-21,7,0.428571429,0,0,0,0,0,0,0,0,2,2,0,2,0,9,0.315,0.406,0.779
Milwaukee Bucks,34,14,20,0.411764706,3351,3414,-63,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,10,0.333,0.435,0.741
Houston Rockets,34,15,19,0.441176471,3141,3168,-27,5,0.2,0,0,0,0,0,0,1,1,1,0,1,0.25,0,11,0.303,0.459,0.719
