Rk,GP,W,L,W-L%,G,GA,DIFF,CQF GP,CQF OT GP,CQF W-L%,CQF RS W-L%,CSF GP,CSF OT GP,CSF W-L%,CSF RS W-L%,CF GP,CF OT GP,CF W-L%,CF RS W-L%,F GP,F OT GP,F W-L%,F RS W-L%,ELITE F,ELITE D,ELITE GK,Champs,Year,AvAge,Exp
1,36,25,9,0.69,107,75,28,4,1,1,0.6,7,2,0.57,0.5,5,3,0.8,0.5,7,0,0.571,1,4.75,3.75,0.75,8,2001,28.4,6
2,39,27,12,0.69,129,84,45,6,1,0.67,0.75,7,2,0.57,0.67,5,0,0.8,0.6,7,0,0.429,1,4.5,5,0.75,7,2001,28.5,6
3,28,16,12,0.57,68,65,3,6,1,0.67,0.5,4,0,1,1,5,3,0.2,0.5,0,0,0,0,3.75,1.5,0.75,6,2001,28.5,3
4,31,17,14,0.55,83,84,-1,6,2,0.67,0.5,7,3,0.57,0.75,5,0,0.2,0.4,0,0,0,0,3.75,2.25,0.75,5,2001,28,4
5,23,13,10,0.57,55,56,-1,4,2,1,0,7,2,0.43,0.33,0,0,0,0,0,0,0,0,0,4.5,0.75,4,2001,29.4,5
6,27,17,10,0.63,80,54,26,6,2,0.67,0,7,3,0.43,0.25,0,0,0,0,0,0,0,0,1,4,1,3,2001,28.1,5
7,26,17,9,0.65,58,58,0,6,2,0.67,0.67,7,2,0.43,0.5,0,0,0,0,0,0,0,0,0.25,2.25,0,2,2001,28.5,1
8,23,17,6,0.74,70,45,25,6,4,0.67,0.75,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,1,2001,29.4,9
9,18,11,7,0.61,59,39,20,6,2,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,30.1,4
10,19,10,9,0.53,62,52,3,6,1,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,26.2,2
11,19,6,13,0.32,40,49,-9,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,30.1,1
12,19,8,11,0.42,44,50,-6,6,2,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2001,26.8,3
13,20,11,9,0.55,44,60,-16,6,2,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2001,28.7,1
14,19,10,9,0.53,45,48,-3,6,4,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2001,28.1,4
