Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
San Antonio Spurs,53,39,14,0.735849057,5131,4999,132,6,0.666666667,6,0.666666667,6,0.666666667,6,0.666666667,5,2,2,6,4.25,5,3,1,0.351,0.463,0.712
Dallas Mavericks,49,29,20,0.591836735,5075,5087,-12,7,0.571428571,7,0.571428571,6,0.333333333,0,0,4,2,1,7,3.5,5.5,2,3,0.397,0.469,0.829
Sacramento Kings,39,29,10,0.743589744,4093,4065,28,5,0.8,7,0.428571429,0,0,0,0,5,1,2,4,4,3.5,1,5,0.367,0.484,0.777
Philadelphia 76ers,41,25,16,0.609756098,4005,3995,10,6,0.666666667,6,0.333333333,0,0,0,0,2,0,0,2,1.5,1.5,1,6,0.352,0.458,0.803
Los Angeles Lakers,41,28,13,0.682926829,4193,4190,3,6,0.666666667,6,0.333333333,0,0,0,0,2,2,2,3,2,2.75,1,7,0.354,0.478,0.709
New Orleans Hornets,32,20,12,0.625,3000,3010,-10,6,0.333333333,0,0,0,0,0,1,0,0,0,1,0,0.75,0,12,0.369,0.458,0.743
Minnesota Timberwolves,33,19,14,0.575757576,3296,3334,-38,6,0.333333333,0,0,0,0,0,0,2,1,1,1,1.75,1,0,13,0.333,0.49,0.806
Milwaukee Bucks,35,17,18,0.485714286,3518,3544,-26,6,0.333333333,0,0,0,0,0,0,0,1,0,0,0.25,0,0,14,0.373,0.483,0.745
Indiana Pacers,34,13,21,0.382352941,3188,3222,-34,6,0.333333333,0,0,0,0,0,0,1,1,1,1,1,1,0,15,0.292,0.417,0.79
Detroit Pistons,49,36,13,0.734693878,4369,4222,147,5,0.8,7,0.571428571,6,0.666666667,5,0.8,4,1,1,5,3.25,4,3,1,0.304,0.436,0.734
Los Angeles Lakers,52,36,16,0.692307692,4943,4923,20,5,0.8,6,0.666666667,6,0.666666667,5,0.2,5,2,1,5,4.25,4,2,2,0.321,0.476,0.612
Minnesota Timberwolves,47,30,17,0.638297872,4339,4340,-1,5,0.8,7,0.571428571,6,0.333333333,0,0,4,2,1,5,3.5,4,2,3,0.387,0.454,0.78
Indiana Pacers,44,32,12,0.727272727,4022,3951,71,4,1,6,0.666666667,6,0.333333333,0,0,3,0,1,4,2.25,3.25,1,4,0.333,0.432,0.733
New Jersey Nets,41,22,19,0.536585366,3668,3641,27,4,1,7,0.428571429,0,0,0,0,4,1,1,4,3.25,3.25,1,6,0.272,0.467,0.73
Denver Nuggets,32,12,20,0.375,3078,3098,-20,5,0.2,0,0,0,0,0,0,0,1,1,1,0.25,1,0,12,0.338,0.442,0.702
Dallas Mavericks,33,19,14,0.575757576,3542,3535,7,5,0.2,0,0,0,0,0,0,1,2,2,1,1.25,1.25,0,13,0.287,0.42,0.771
