Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
Dallas Mavericks,43,28,15,0.651162791,4434,4455,-21,7,0.571428571,6,0.333333333,0,0,0,0,5,0,1,5,3.75,4,1,6,0.379,0.472,0.786
Denver Nuggets,29,18,11,0.620689655,3046,3070,-24,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,13,0.331,0.448,0.86
Houston Rockets,36,21,15,0.583333333,3467,3489,-22,7,0.428571429,0,0,0,0,0,0,1,0,0,1,0.75,0.75,0,9,0.321,0.45,0.788
Orlando Magic,30,18,12,0.6,2876,2865,11,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.304,0.522,0.782
Boston Celtics,33,18,15,0.545454545,3416,3456,-40,6,0.333333333,0,0,0,0,0,0,1,0,0,0,0.75,0,0,12,0.298,0.497,0.849
Atlanta Hawks,37,16,21,0.432432432,3326,3379,-53,6,0.666666667,6,0.333333333,0,0,0,0,4,2,2,4,3.5,3.5,1,6,0.388,0.489,0.736
Washington Wizards,35,11,24,0.314285714,3522,3557,-35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.305,0.448,0.77
Cleveland Cavaliers,51,35,16,0.68627451,5405,5224,181,4,1,4,1,6,0.666666667,7,0.571428571,4,1,0,6,3.25,4.5,3,1,0.386,0.559,0.815
Miami Heat,54,45,9,0.833333333,5406,5258,148,4,1,5,0.8,7,0.571428571,7,0.571428571,5,2,1,6,4.25,4.75,3,1,0.409,0.521,0.767
Miami Heat,46,30,16,0.652173913,4493,4437,56,5,0.8,5,0.8,5,0.8,6,0.333333333,4,3,1,4,3.75,3.25,2,2,0.378,0.492,0.763
Houston Rockets,32,15,17,0.46875,3418,3512,-94,5,0.2,0,0,0,0,0,0,1,0,1,1,0.75,1,0,13,0.305,0.51,0.764
Golden State Warriors,38,21,17,0.552631579,4075,4056,19,6,0.666666667,5,0.2,0,0,0,0,3,1,1,4,2.5,3.25,0,8,0.358,0.507,0.735
Boston Celtics,36,20,16,0.555555556,3364,3352,12,4,1,5,0.2,0,0,0,0,4,0,0,2,3,1.5,1,7,0.349,0.46,0.838
Milwaukee Bucks,34,14,20,0.411764706,3351,3414,-63,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,10,0.333,0.435,0.741
Houston Rockets,46,29,17,0.630434783,4895,4937,-42,5,0.8,7,0.571428571,5,0.2,0,0,4,0,1,4,3,3.25,2,3,0.333,0.502,0.786
Sacramento Kings,43,24,19,0.558139535,4192,4191,1,5,0.8,7,0.428571429,0,0,0,0,5,3,1,6,4.5,4.75,1,5,0.348,0.445,0.758
