Rk,GP,W,L,W-L%,G,GA,DIFF,CQF GP,CQF OT GP,CQF W-L%,CQF RS W-L%,CSF GP,CSF OT GP,CSF W-L%,CSF RS W-L%,CF GP,CF OT GP,CF W-L%,CF RS W-L%,F GP,F OT GP,F W-L%,F RS W-L%,ELITE F,ELITE D,ELITE GK,Champs,Year,AvAge,Exp
6,25,14,11,0.56,69,54,15,6,0,0.67,0.75,6,2,0.33,0.6,0,0,0,0,0,0,0,0,0,3.75,0.75,3,2003,30,2
2,45,23,19,0.511,132,125,7,5,1,0.8,0.833,7,2,0.57,0.5,5,0,0.8,0.5,6,2,0.333,1,3,0.25,1.5,7,2010,27.7,4
9,20,10,10,0.5,43,51,-8,7,1,0.429,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,27.5,5
16,23,7,14,0.3,56,74,-18,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2008,28.5,6
12,26,13,11,0.5,64,69,-5,6,1,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,28.7,4
4,37,23,14,0.62,120,95,25,7,1,0.57,0.5,4,1,1,0.75,5,0,0.2,0.25,0,0,0,0,2.5,4.25,0.75,5,2006,28.2,4
3,38,19,15,0.5,97,101,-4,7,2,0.571,0.5,7,0,0.571,0.25,5,0,0.2,0.5,0,0,0,0,0,0,0.75,6,2010,27.5,3
2,35,19,14,0.543,96,78,18,7,2,0.571,0.75,5,2,0.8,0.333,4,1,1,0,6,3,0.333,0,4.5,4.25,1,7,2013,27.8,6
10,27,15,12,0.56,81,67,14,6,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2006,27.9,2
10,20,12,8,0.6,52,46,6,7,2,0.429,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2004,27.9,3
14,19,8,11,0.42,50,56,-6,5,1,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2003,27.7,0
4,36,24,9,0.667,110,90,20,4,1,1,0.8,7,2,0.571,0.4,6,2,0.333,0.667,0,0,0,0,2.25,3.75,0.75,5,2017,27.6,4
15,24,11,9,0.458,58,67,-9,4,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,29.4,6
14,25,8,14,0.32,62,75,-13,6,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,26.9,0
14,22,13,8,0.59,48,47,1,6,0,0.33,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2008,27.7,8
7,22,11,11,0.5,56,56,0,5,1,0.8,0.5,5,1,0.2,0,0,0,0,0,0,0,0,0,0,1.5,0.75,2,2013,27.4,1
7,33,17,12,0.515,78,72,6,6,0,0.667,0.5,6,3,0.333,0.4,0,0,0,0,0,0,0,0,0,2.25,1,2,2016,27.9,2
1,39,27,8,0.69,111,83,28,5,0,0.8,0.5,5,3,0.8,0.75,6,1,0.67,0.5,5,0,0.8,0,4.5,3.75,0,8,2007,28.5,3
5,33,22,7,0.667,97,62,35,5,1,0.8,0.25,7,2,0.429,0.25,0,0,0,0,0,0,0,0,0.25,0.75,0.75,4,2014,27.6,5
9,19,9,9,0.474,49,46,3,7,4,0.429,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,28.8,1
8,30,17,12,0.567,77,66,11,6,0,0.667,0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,1,1,2015,27.7,3
8,33,21,12,0.636,111,84,27,7,0,0.57,0.5,5,1,0.2,0.75,0,0,0,0,0,0,0,0,0,1.5,1,1,2010,30.3,9
10,25,11,12,0.44,63,60,3,7,2,0.429,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2012,28.8,1
3,38,21,16,0.553,109,105,4,6,4,0.667,0.4,6,1,0.667,0.4,7,2,0.429,1,0,0,0,0,2.25,1.5,0.75,6,2014,27.5,6
4,31,21,10,0.677,84,66,18,5,1,0.8,0.5,6,2,0.67,0.5,6,1,0.33,0.5,0,0,0,0,2.25,2.5,1,5,2004,26.8,2
10,27,13,10,0.481,78,71,7,7,0,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,27.7,2
10,19,10,9,0.53,62,52,3,6,1,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,26.2,2
4,26,15,10,0.577,77,65,12,6,2,0.667,0.8,5,1,0.8,1,4,1,0,1,0,0,0,0,0,3,0.75,5,2013,29,2
4,36,19,13,0.528,87,80,7,6,5,0.667,0.75,5,1,0.8,0.5,5,1,0.2,0.5,0,0,0,0,1.5,4,1,5,2012,28.9,2
12,25,13,10,0.52,64,58,6,6,0,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,29.4,2
12,18,12,6,0.67,57,47,10,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2002,26.3,1
3,28,16,12,0.57,68,65,3,6,1,0.67,0.5,4,0,1,100,5,3,0.2,0.5,0,0,0,0,3.75,1.5,0.75,6,2001,28.5,3
16,19,9,10,0.474,44,49,-5,5,2,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,30.6,0
6,23,18,12,0.783,98,94,4,6,1,0.667,0.333,7,1,0.429,0.8,0,0,0,0,0,0,0,0,0.25,0,0,3,2014,28.3,1
6,29,19,9,0.66,90,77,13,4,0,1,0.75,5,3,0.2,0.38,0,0,0,0,0,0,0,0,0,0.75,1,3,2006,30,6
1,39,23,13,0.6,104,84,30,6,1,0.67,0.75,5,0,0.8,0.6,7,3,0.57,0.75,5,2,0.8,1,5.25,3.75,0.75,8,2002,31.9,3
8,33,15,13,0.455,88,87,1,7,4,0.571,0.2,6,1,0.333,0.6,0,0,0,0,0,0,0,0,0.25,2.25,0.75,1,2014,27.2,1
